"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"9/18/2023 4 p.m. EDT",32141,29103,38200,45827,91892,87871,14356,43384,18285,54664,16190,19839,67858
US48,"9/18/2023 5 p.m. EDT",31718,29637,39632,46204,92812,89083,14606,44418,18413,29671,17055,20279,69868
US48,"9/18/2023 6 p.m. EDT",31613,29826,40596,45572,93865,90006,14974,45065,18649,30004,17726,20477,71294
US48,"9/18/2023 7 p.m. EDT",33015,29203,40682,43796,93137,90375,15094,45403,18626,29963,18301,20290,71259
US48,"9/18/2023 8 p.m. EDT",34445,28254,39649,41606,92622,89239,14910,46126,18565,29260,18633,19497,69100
US48,"9/18/2023 9 p.m. EDT",35827,27327,38020,39610,91372,87596,14230,45409,17964,28587,18697,19150,65998
US48,"9/18/2023 10 p.m. EDT",36975,25412,36695,36553,86939,84680,13356,44079,17021,26825,18075,18219,63638
US48,"9/18/2023 11 p.m. EDT",37397,23225,34710,33417,81906,79903,12284,43540,15903,24640,17319,16968,60304
US48,"9/19/2023 12 a.m. EDT",37195,21182,32307,30362,78082,75208,11540,41853,14814,22938,16219,15678,56382
US48,"9/19/2023 1 a.m. EDT",36185,19702,30126,27782,75002,71106,11055,39355,14083,21234,14979,14363,52419
US48,"9/19/2023 2 a.m. EDT",34525,18743,28519,25953,72911,67877,10771,36884,13535,20917,13749,13604,48916
US48,"9/19/2023 3 a.m. EDT",32137,18083,27407,24777,71292,65807,10511,34666,13164,20511,12743,13136,46622
US48,"9/19/2023 4 a.m. EDT",29941,17863,26654,24035,70470,64384,10379,33283,12968,20191,12040,12831,45123
US48,"9/19/2023 5 a.m. EDT",28620,18123,26181,23901,70843,64180,10516,32391,13062,20154,11477,12749,44013
